a{1}|ɑ{2}|ʌ{3},a{1,2,3}|ʌ{1,2,3}
a{1}ː{4}|ɑ{2}ː{4}|ʌ{3}ː{4},a{1,2,3}ː{4}|ʌ{1,2,3}ː{4}
ɪ{1}|ɨ{2},ɪ{1,2}|ɨ{1,2}
ʁ{1}|ɣ{2},ʁ{1,2}
g{1}\u0323{2}|g{1}\u0307{3},ɢ{1}
g{1}ʸ{2}|g{1}\u0302{3},ɟ{1}
ʔ{1}ɡ{2}|ʔ{1}g{2}\u0307{3},ʔ{1}ɢ{2}
ʔ{1}ɡ{2}ʸ{3}|ʔ{1}g{2}\u0302{4},ʔ{1}ɟ{2}
ɔ{1}|o{2},ɔ{1,2}|o{1,2}
ʊ{1}|u{2},ʊ{1,2}|u{1,2}
ʔ{1}u{2}|ʔ{1}ʊ{3},ʔ{1}u{2,3}|ʔ{1}ʊ{2,3}
ʔ{1}ᶸ{2}|ʔ{1}ᶷ{3},ʔ{1}ᶸ{2,3}|ʔ{1}ᶷ{2,3}
