?{1}u{2}|?{1}U{3},ʔ{1}u{2,3}|ʔ{1}ʊ{2,3}
?{1}ᶸ{2}|?{1}ᶷ{3},ʔ{1}ᶸ{2,3}|ʔ{1}ᶷ{2,3}
A{1},a{2}|ʌ{1,2}
A{1}A{2},a{1}ː{2}|ʌ{1}ː{2}
I{1},i{1}|ɨ{1}
O{1}|o{2},ɔ{1,2}|o{1,2}
U{1}|u{2},ʊ{1,2}|u{1,2}
