b,p
tth',tθʼ
tth,tθʰ
th,θ
tl',tɬʼ
tl,tɬʰ
ts',tsʼ
ts,tsʰ
t',tʼ
t,tʰ
ddh,tθ
dh,ð
dz,ts
dl,tɬ
d,t
zh,ʒ
nj,ⁿtʃ
ch',tʃʼ
ch,tʃʰ
j,tʃ
sh,ʃ
ghw,ɣʷ
gh,ɣ
gw,kʷ
khw,xʷ
k'w,kʼʷ
kh,x
kw,kʰʷ
k',kʼ
k,kʰ
g,k
r,ɹ
',ʔ
ł,ɬ
mb,ᵐp
nd,ⁿt
n,ŋ,i
n,ŋ,u:
\u0301\u0328,\u0303
\u0304\u0328,\u0303
\u030C\u0328,\u0303
\u0301,
\u0304,
\u030C,
a\u0328i,ʌ̃ɪ
a\u0328u,ʌ̃ʊ
a\u0328e,æ̃
ä\u0328,ʌ̃
a\u0328,ɑ̃
\u0328,\u0303
ai,ʌɪ
au,ʌʊ
ae,æ
ä,ʌ
a,ɑ
y,j
o,o
e,e
g,\u0261
