aa,ɑː,,
ai,ɑɪ,,
au,ɑʊ,,
a,ɑ,,
b,b,,
c,s,,
d,d,,
ee,eː,,
ei,eɪ,,
eu,eʊ,,
e,e,,
f,f,,
g,ɡ,,
h,h,,
ii,iː,,
ie,iɛ,,
i,i,,
j,j,,
k,k,,
l,l,,
m,m,,
n,n,,
oo,oː,,
ou,oʊ,,
oi,ɔɪ,,
o,o,,
p,p,,
q,k,,
r,r,,
s,s,,
t,t,,
uu,uː,,
uo,ʊɔ,,
ui,ʊɪ,,
u,u,,
v,ʋ,,
w,ʋ,,
x,ks,,
yy,yː,,
y,y,,
z,t͡s,,
å,o,,
ää,æː,,
äy,æɥ,,
ä,æ,,
öö,øː,,
öy,øɥ,,
ö,ø,,
n,ŋ,,k
n,ŋ,,g
n,m,,p
n,m,,b
